115062501|1|3|1|15/6/2025|2|20000|40000|USED
115062502|1|3|1|15/6/2025|1|20000|20000|USED
115062503|1|3|1|15/6/2025|1|20000|20000|USED
115062504|1|3|1|15/6/2025|2|20000|40000|USED
115062505|1|4|1|15/6/2025|2|20000|40000|USED
115062506|1|3|1|15/6/2025|1|20000|20000|USED
215062507|2|3|1|15/6/2025|1|20000|20000|USED
215062508|2|3|1|15/6/2025|1|25000|25000|USED
215062509|2|3|1|16/6/2025|3|20000|60000|USED
216062501|2|3|1|16/6/2025|2|20000|40000|USED
216062502|2|3|1|16/6/2025|2|20000|40000|USED
216062503|2|3|1|16/6/2025|2|20000|40000|USED
216062504|2|3|1|16/6/2025|2|20000|40000|PROCESSED
